0.0000e+00,3.7794e+02
4.0404e-01,2.6610e+01
8.0808e-01,2.2368e+01
1.2121e+00,2.0054e+01
1.6162e+00,1.8511e+01
2.0202e+00,1.6583e+01
2.4242e+00,1.5812e+01
2.8283e+00,1.5812e+01
3.2323e+00,1.5426e+01
3.6364e+00,1.4655e+01
4.0404e+00,1.4655e+01
4.4444e+00,1.4655e+01
4.8485e+00,1.5040e+01
5.2525e+00,1.5812e+01
5.6566e+00,1.5812e+01
6.0606e+00,1.6969e+01
6.4646e+00,1.8126e+01
6.8687e+00,1.9283e+01
7.2727e+00,2.0054e+01
7.6768e+00,2.0440e+01
8.0808e+00,2.0440e+01
8.4848e+00,2.1597e+01
8.8889e+00,2.2368e+01
9.2929e+00,2.2368e+01
9.6970e+00,2.4682e+01
1.0101e+01,2.4682e+01
1.0505e+01,2.5453e+01
1.0909e+01,2.6996e+01
1.1313e+01,2.7767e+01
1.1717e+01,4.3193e+01
1.2121e+01,7.7516e+01
1.2525e+01,1.1454e+02
1.2929e+01,1.5079e+02
1.3333e+01,1.8704e+02
1.3737e+01,2.2368e+02
1.4141e+01,2.6186e+02
1.4545e+01,2.9888e+02
1.4949e+01,3.3590e+02
1.5354e+01,3.7061e+02
1.5758e+01,4.0725e+02
1.6162e+01,4.4543e+02
1.6566e+01,4.8168e+02
1.6970e+01,5.1986e+02
1.7374e+01,5.5766e+02
1.7778e+01,5.9391e+02
1.8182e+01,6.3132e+02
1.8586e+01,6.6602e+02
1.8990e+01,7.0266e+02
1.9394e+01,7.4007e+02
1.9798e+01,7.7863e+02
2.0202e+01,8.1527e+02
2.0606e+01,8.5345e+02
2.1010e+01,8.8970e+02
2.1414e+01,9.2711e+02
2.1818e+01,9.6452e+02
2.2222e+01,1.0031e+03
2.2626e+01,1.0386e+03
2.3030e+01,1.0756e+03
2.3434e+01,1.1149e+03
2.3838e+01,1.1527e+03
2.4242e+01,1.1909e+03
2.4646e+01,1.2287e+03
2.5051e+01,1.2661e+03
2.5455e+01,1.3035e+03
2.5859e+01,1.3409e+03
2.6263e+01,1.3783e+03
2.6667e+01,1.4169e+03
2.7071e+01,1.4558e+03
2.7475e+01,1.4929e+03
2.7879e+01,1.5295e+03
2.8283e+01,1.5673e+03
2.8687e+01,1.6059e+03
2.9091e+01,1.6444e+03
2.9495e+01,1.6838e+03
2.9899e+01,1.7216e+03
3.0303e+01,1.7594e+03
3.0707e+01,1.7960e+03
3.1111e+01,1.8346e+03
3.1515e+01,1.8743e+03
3.1919e+01,1.9125e+03
3.2323e+01,1.9503e+03
3.2727e+01,1.9900e+03
3.3131e+01,2.0289e+03
3.3535e+01,2.0671e+03
3.3939e+01,2.1049e+03
3.4343e+01,2.1458e+03
3.4747e+01,2.1824e+03
3.5152e+01,2.2179e+03
3.5556e+01,2.2568e+03
3.5960e+01,2.2958e+03
3.6364e+01,2.3332e+03
3.6768e+01,2.3725e+03
3.7172e+01,2.4099e+03
3.7576e+01,2.4477e+03
3.7980e+01,2.4848e+03
3.8384e+01,2.5229e+03
3.8788e+01,2.5615e+03
3.9192e+01,2.5997e+03
3.9596e+01,2.6352e+03
4.0000e+01,2.6730e+03
